appid,displayName,WhyExcluded
0eb4bf93-cb63-4fe1-9d7d-70632ccf3082,Microsoft Teams Intelligent Workspaces Interactions Service,Microsoft
0eda3b13-ddc9-4c25-b7dd-2f6ea073d6b7,Microsoft Flow CDS Integration Service,Microsoft
0ef09fa7-413d-4a9f-a7a5-32f8f62b7598,Field Service Mobile,Microsoft
0ef94e72-e4fc-4aa0-a8f4-ff27deb3e6eb,Teams NRT DLP Ingestion Service,Microsoft
0f54b75d-4d29-4a92-80ae-106a60cd8f5d,Teams User Engagement Profile Service,Microsoft
0f663440-6490-4534-92fa-6cd13cfd374c,Azure Cost Management Public Main RP,Microsoft
0f698dd4-f011-4d23-a33e-b36416dcb1e6,OfficeClientService,Microsoft
0f6e3eff-886c-4f7a-a1d7-6f1f0177273b,Intune oAuth Graph,Microsoft
0f6edad5-48f2-4585-a609-d252b1c52770,AIGraphClient,Microsoft
0fa37baf-7afc-4baf-ab2d-d5bb891d53ef,Microsoft Teams ATP Service,Microsoft
110797d6-4a5e-4e58-a06d-f1bf3f3a8069,Field Service Mobile,Microsoft
11c174dc-1945-4a9a-a36b-c79a0f246b9b,AzureApplicationInsights,Microsoft
11cd3e2e-fccb-42ad-ad00-878b93575e07,Automated Call Distribution,Microsoft
11f6c209-c042-4da5-acb9-8d3546fe506f,DYN365AISERVICEINSIHTSPPE,Microsoft
12743ff8-d3de-49d0-a4ce-6c91a4245ea0,Metrics Monitor API,Microsoft
1303f293-64bd-48ba-89b0-6bf538bc67f3,Microsoft Teams IP Policy Service,Microsoft
133c4dc0-9d5f-4826-9f7b-6bb3d3867e6a,PADWAMigrator,Microsoft
1341df96-0b28-43da-ba24-7a6ce39be816,Azure Managed HSM RP,Microsoft
14452459-6fa6-4ec0-bc50-1528a1a06bf0,Intune CMDeviceService,Microsoft
14d82eec-204b-4c2f-b7e8-296a70dab67e,Microsoft Graph PowerShell,Microsoft
15689b28-1333-4213-bb64-38407dde8a5e,Microsoft Azure,Microsoft
1609d3a1-0db2-4818-b854-fe1614f0718a,Fiji Storage,Microsoft
161a339d-b9f5-41c5-8856-6a6669acac64,Microsoft Azure Alerts Management,Microsoft
163b648b-025e-455b-9937-a7f39a65d171,SSO Extension Intune,Microsoft
166f1b03-5b19-416f-a94b-1d7aa2d247dc,Office Hive,Microsoft
167e2ded-f32d-49f5-8a10-308b921bc7ee,OCaaS Worker Services,Microsoft
1690c5aa-925a-4d0e-836b-722c795bd0d0,Group Configuration Processor,Microsoft
1762e607-063e-431a-a25a-f0f782acb73b,Virtual Connector Provider,Microsoft
184909ca-69f1-4368-a6a7-c558ee6eb0bd,Marketplace Caps API,Microsoft
1884bdbf-452a-4a11-9c76-afdbdb1b3768,Relevance Search Service,Microsoft
1884bdbf-452a-4a11-9c76-afdbdb1b3768,RelevanceSearch,Microsoft
18a4ad1e-427c-4cad-8416-ef674e801d32,Intune DeviceActionService,Microsoft
18a66f5f-dbdf-4c17-9dd7-1634712a9cbe,Azure Machine Learning Services,Microsoft
18af356b-c4fd-4f52-9899-d09d21397ab7,Office365DirectorySynchronizationService,Microsoft
18f36947-75b0-49fb-8d1c-29584a55cac5,Reply-At-Mention,Microsoft
1950a258-227b-4e31-a9cf-717495945fc2,Microsoft Azure PowerShell,Microsoft
19679030-48d8-445f-b27c-311bb3be8a2c,eSeal,Microsoft
19686ca6-5324-4571-a231-77e026b0e06f,Microsoft Command Service,Microsoft
19947cfd-0303-466c-ac3c-fcc19a7a1570,Azure DNS,Microsoft
1996141e-2b07-4491-927a-5a024b335c78,Microsoft Teams UIS,Microsoft
19a92965-3c11-4ed7-a1bd-9b66785dd4c6,PADWAMigratorGCC,Microsoft
19b21e10-1304-498b-92d4-4290e94999fa,CAS API Security RP Staging,Microsoft
19dd5b37-d116-48cb-90d2-4aa56696cba1,MicrosoftFormsProTest,Microsoft
19dd5b37-d116-48cb-90d2-4aa56696cba1,Microsoft Forms Pro,Microsoft
1a14be2a-e903-4cec-99cf-b2e209259a0f,Azure Lab Services,Microsoft
1a4b5304-a0fd-4017-8a3d-466fc083b73e,MSATenantRestrictions,Microsoft
1b3c667f-cde3-4090-b60b-3d2abd0117f0,Windows Spotlight,Microsoft
1b489150-9b00-413a-83fd-6ef8f05b6e28,Policy Processor,Microsoft
1b730954-1685-4b74-9bfd-dac224a7b894,Azure Active Directory PowerShell,Microsoft
1b912ec3-a9dd-4c4d-a53e-76aa7adb28d7,AADReporting,Microsoft
1c0ae35a-e2ec-4592-8e08-c40884656fa5,Skype Team Substrate connector,Microsoft
1c2909a7-6432-4263-a70d-929a3c1f9ee5,Common Data Service License Management,Microsoft
1cda9b54-9852-4a5a-96d4-c2ab174f9edf,O365Account,Microsoft
1d3443bd-4cbc-483e-9f09-00ba7ee54655,Microsoft Synapse Notebook Service,Microsoft
1d78a85d-813d-46f0-b496-dd72f50a3ec0,Microsoft Azure Policy Insights,Microsoft
1dcb1bc7-c721-498e-b2fa-bcddcea44171,Microsoft Azure Authorization Resource Provider,Microsoft
1e2ca66a-c176-45ea-a877-e87f7231e0ee,Microsoft B2B Admin Worker,Microsoft
1e3e4475-288f-4018-a376-df66fd7fac5f,NetworkTrafficAnalyticsService,Microsoft
1e70cd27-4707-4589-8ec5-9bd20c472a46,Skype Presence Service,Microsoft
1efb1569-5fd6-4938-8b8d-9f3aa07c658d,Microsoft Defender for Cloud for AI,Microsoft
1f5530b3-261a-47a9-b357-ded261e17918,Azure Multi-Factor Auth Connector,Microsoft
1fd5118e-2576-4263-8130-9503064c837a,Azure Communication Services,Microsoft
1fec8e78-bce4-4aaf-ab1b-5451cc387264,Microsoft Teams,Microsoft
207a6836-d031-4764-a9d8-c1193f455f21,Conference Auto Attendant,Microsoft
2087bd82-7206-4c0a-b305-1321a39e5926,Microsoft To-Do,Microsoft
20e940b3-4c77-4b0b-9a53-9e16a1b010a7,MarketplaceAPI ISV,Microsoft
212d21d5-fcdc-4efb-9ece-746920525a61,Syncto msxfaqdev.onmicrosoft.com,Microsoft
21353d9d-3ce9-4c8b-8c20-04ff792da600,NoSpamProxy,Microsoft
21a8a852-89f4-4947-a374-b26b2db3d365,IC3 Long Running Operations Service,Microsoft
22098786-6e16-43cc-a27d-191a01a1e3b5,Microsoft To-Do client,Microsoft
2220bbc4-4518-4fef-aac6-c6f32e9f9fd1,Customer Experience Platform PROD,Microsoft
224a7b82-46c9-4d6b-8db0-7360fb444681,Microsoft Modern Contact Master,Microsoft
22618bd1-b6aa-45f0-8ebd-718d158d888d,TrustedPublishersProxyService-DoD,Microsoft
226e4631-c980-4b11-9c96-5e26bb14dafc,Prod M365FLWPClient Prod,Microsoft
22d27567-b3f0-4dc2-9ec2-46ed368ba538,Reading Assignments,Microsoft
22d7579f-06c2-4baa-89d2-e844486adb9d,Cortana at Work Bing Services,Microsoft
23c898c1-f7e8-41da-9501-f16571f8d097,OCPS Checkin Service,Microsoft
257601fd-462f-4a21-b623-7f719f0f90f4,Centralized Deployment,Microsoft
257fc75b-c7b8-434b-a467-fcfc16cb7ab6,Dynamics CRM TIP SRS,Microsoft
2634dd23-5e5a-431c-81ca-11710d9079f4,Microsoft Stream Service,Microsoft
265378aa-7259-4b82-af51-0c97c6cbc0ca,ApolloNonProdFirstParty,Microsoft
268761a2-03f3-40df-8a8b-c3db24145b6b,Universal Store Native Client,Microsoft
26a18ebc-cdf7-4a6a-91cb-beb352805e81,Skype Teams Calling API Service,Microsoft
26a4ae64-5862-427f-a9b0-044e62572a4f,Microsoft Intune Checkin,Microsoft
26a7ee05-5602-4d76-a7ba-eae8b7b67941,Windows Search,Microsoft
270efc09-cd0d-444b-a71f-39af4910ec45,Windows Cloud Login,Microsoft
273404b8-7ebc-4360-9f90-b40417f77b53,Microsoft Exact Data Match Service,Microsoft
27922004-5251-4030-b22d-91ecd9a37ea4,Outlook Mobile,Microsoft
2793995e-0a7d-40d7-bd35-6968ba142197,My Apps,Microsoft
27b24f1f-688b-4661-9594-0fdfde972edc,Skype Business Voice Directory,Microsoft
27f13ec4-0f4e-4840-b547-1a0181666256,PowerApps CDS Service,Microsoft
282c9137-f94e-4287-8223-9b60f2974e5c,PowerApps Web Player Service - apps.gov.powerapp.us,Microsoft
291bcb22-15e5-4341-8f91-feb152d655ee,Dynamics 365 Connected Store,Microsoft
299fa2bd-f53a-45b1-b501-1056398454bc,Dynamics 365 CCA Prod - CDS to Azure data lake,Microsoft
29d25686-9984-4812-9340-da1820c482e4,PRTG2016,Microsoft
2a486b53-dbd2-49c0-a2bc-278bdfc30833,Cortana at Work Service,Microsoft
2ad88395-b77d-4561-9441-d0e40824f9bc,Dynamics 365 Development Tools,Microsoft
2ad88395-b77d-4561-9441-d0e40824f9bc,PowerShell,Microsoft
2b479c68-8d9b-4e27-9d85-5d74803de734,Virtual Visits App,Microsoft
2b5e68f0-bdc2-45b0-920a-217d5cbbd505,Power Platform Governance Services - TIRPS,Microsoft
2b61b865-d0bd-4c60-9efa-6fa934eefaac,TrustedPublishersProxyService,Microsoft
2bb78a2a-f8f1-4bc3-8ecf-c1e15a0726e6,MicrosoftTeamsCortanaSkills,Microsoft
2bc50526-cdc3-4e36-a970-c284c34cbd6e,Microsoft Business Office Add-in,Microsoft
2c1229aa-16c5-4ff5-b46b-4f7fe2a2a9c8,ODBC Client Driver,Microsoft
2c37df23-0c28-4fbf-9b2a-d5fd6277bf92,OmnichannelEngagementHubAdminApp,Microsoft
2c9e12e5-a56c-4ba1-b768-7a141586c6fe,Viva Learning,Microsoft
2cee05de-2b8f-45a2-8289-2a06ca32c4c8,Gmail,Microsoft
2cf9eb86-36b5-49dc-86ae-9a63135dfa8c,Azure Traffic Manager and DNS,Microsoft
2cfc91a4-7baa-4a8f-a6c9-5f3d279060b8,Azure Application Change Service,Microsoft
2d4d3d8e-2be3-4bef-9f87-7875a61c29de,OneNote,Microsoft
2db8cb1d-fb6c-450b-ab09-49b6ae35186b,Microsoft Dynamics CRM Learning Path,Microsoft
2ddfbe71-ed12-4123-b99b-d5fc8a062a79,Microsoft Teams Admin Portal Service,Microsoft
2e49aa60-1bd3-43b6-8ab6-03ada3d9f08b,Dynamics Data Integration,Microsoft
2f29638c-34d4-4cf2-a16a-7caf612cee15,Microsoft Dynamics CRM for Microsoft Office Outlook,Microsoft
2f3b013e-5dc4-4b2a-831f-47ba08353237,Microsoft Dynamics 365 Project Service Automation Add-in for Microsoft Project,Microsoft
2f3f02c9-5679-4a5c-a605-0de55b07d135,Office 365 Information Protection,Microsoft
2f5afa01-cdcb-4707-a62a-0803cc994c60,MS-CE-CXG-MAC-AadShadowRoleWriter,Microsoft
2f6713e6-1e21-4a83-91b4-5bf9a2378f81,RSOProvisioningCustomerDashboard,Microsoft
2f6713e6-1e21-4a83-91b4-5bf9a2378f81,Dynamics 365 Resource Scheduling Optimization,Microsoft
2f7b4d11-d621-4079-9798-27f548d681f1,Power Cards,Microsoft
2fd908ad-0664-4344-b9be-cd3e8b574c38,Microsoft.Data.SqlClient,Microsoft
30e31aeb-977f-4f4f-a483-b61e8377b302,Microsoft Teams ADL,Microsoft
3138fe80-4087-4b04-80a6-8866c738028a,SharePoint Notification Service,Microsoft
31769e56-a5d1-4127-be20-47bdce049561,SharePoint Online Client Extensibility Web Application Principal,Microsoft
3184af01-7a88-49e0-8b55-8ecdce0aa950,Azure Cost Management XCloud,Microsoft
3196859b-8ed7-4c53-8c1d-b8ac7b6c6299,Cloud Sync,Microsoft
319f651f-7ddb-4fc6-9857-7aef9250bd05,K8 Bridge,Microsoft
31ba6d5c-2e14-40fb-bbcb-27dc8a1bfaf5,TeamsLinkedInLiveApp,Microsoft
32166110-0424-4622-8b0d-4e50f4da7a74,MR.Mty.App,Microsoft
325e8307-defd-47df-aeff-15152ea6e5bf,Prod M365FLWPService Prod,Microsoft
328fd23b-de6e-462c-9433-e207470a5727,NFV Resource Provider,Microsoft
331cc017-5973-4173-b270-f0042fddfd75,Power Apps API,Microsoft
3340b944-b12e-47d0-b46b-35f08ec1d8ee,SPAuthEvent,Microsoft
33be1cef-03fb-444b-8fd3-08ca1b4d803f,OneDrive Web,Microsoft
341b7f3d-69b3-47f9-9ce7-5b7f4945fdbd,Azure Support - Network Watcher,Microsoft
342f61e2-a864-4c50-87de-86abc6790d49,Power Platform Governance Services,Microsoft
34cabb34-90ae-4aca-b8c3-c457dbedf145,PartnerCenterCustomerServiceAppProd,Microsoft
34cc6120-8c17-428c-b5aa-bede141fb74a,Power BI Data Refresh,Microsoft
354b5b6d-abd6-4736-9f51-1be80049b91f,Microsoft Mobile Application Management Backend,Microsoft
3570e63c-5acf-4f3f-9f15-a49faa5120d3,PowerAppsCustomerManagementPlaneBackend,Microsoft
3603eff4-9141-41d5-ba8f-02fb3a439cd6,Diagnostic Services Data Access,Microsoft
363a906a-1ceb-41ea-9f20-884c694f2fc2,ApiHub-Connectors-DoD,Microsoft
36ee54ac-414c-41ef-afde-2ddfd25d5408,ApiHub-Connectors-GCCHigh,Microsoft
37182072-3c9c-4f6a-a4b3-b3f91cacffce,AzureSupportCenter,Microsoft
372140e0-b3b7-4226-8ef9-d57986796201,Microsoft Azure Windows Virtual Machine Sign-in,Microsoft
3734c1a4-2bed-4998-a37a-ff1a9e7bf019,Microsoft Azure Container Apps - Data Plane,Microsoft
37ff607d-6be1-4c1b-a5f8-e5ad92b55975,Lobe,Microsoft
3829f069-1c33-45dd-84ab-2465f4282677,Azure Signup Api,Microsoft
3852314e-aab9-42c3-a859-5b5b88a90000,ConnectedFieldServiceDeployment,Microsoft
386ce8c0-7421-48c9-a1df-2a532400339f,Power Automate Desktop For Windows,Microsoft
38808189-fa7a-4d8a-807f-eba01edacca6,AzNet Security Guard,Microsoft
38a893b6-d74c-4786-8fe7-bc3b4318e881,ProcessSimpleGCC,Microsoft
38c77d00-5fcb-4cce-9d93-af4738258e3c,MicrosoftUnifiedCustomerIntelligence,Microsoft
38d143fa-a9d8-4e3e-b073-81f3fefeaf95,Microsoft Teams IP Core Service,Microsoft
38df11dd-582e-4207-be6f-b214675f44a1,SEAL All credentials,Microsoft
38ec0b21-8bde-4473-950b-819ceb3ed233,SuplariDev,Microsoft
394866fc-eedb-4f01-8536-3ff84b16be2a,Microsoft People Cards Service,Microsoft
3957683c-3a48-4a6c-8706-a6e2d6883b02,DYN365_CS_MESSAGING,Microsoft
3957683c-3a48-4a6c-8706-a6e2d6883b02,Omnichannel for CS Provisioning App Primary,Microsoft
39624784-6cbe-4a60-afbe-9f46d10fdb27,Skype For Business Powershell Server Application,Microsoft
396e7f4b-41ea-4851-b04d-65de6cf1b4a3,Azure AD Identity Governance - SPO Management,Microsoft
39aaf054-81a5-48c7-a4f8-0293012095b9,IC3 Gateway,Microsoft
39e6ea5b-4aa4-4df2-808b-b6b5fb8ada6f,Dynamics Provision,Microsoft
3a225c96-d62a-44ce-b3ec-bd4e8e9befef,Dynamics 365 Human Resources LinkedIn Adapter App,Microsoft
3a3b6b87-84e2-4ad2-aa37-d76c339371a4,Storage Data Management RP Prod FPA,Microsoft
3aa5c166-136f-40eb-9066-33ac63099211,O365 Customer Monitoring,Microsoft
3ab9b3bc-762f-4d62-82f7-7e1d653ce29f,Microsoft Volume Licensing,Microsoft
3af5a1e8-2459-45cb-8683-bcd6cccbcc13,Azure Smart Alerts,Microsoft
3af5adde-460d-4bc1-ada0-fc648af8fefb,ChatMigrationService1P,Microsoft
3b511579-5e00-46e1-a89e-a6f0870e2f5a,Windows 365 Portal,Microsoft
3bc2296e-aa22-4ed2-9e1e-946d05afa6a2,SharePoint Online Web Client Extensibility Isolated,Microsoft
3c31d730-a768-4286-a972-43e9b83601cd,Demeter.WorkerRole,Microsoft
3c896ded-22c5-450f-91f6-3d1ef0848f6e,WeveEngine,Microsoft
3cf468b4-12a0-43cd-aa3f-3f39210d14cf,Quota Service Core - ARM Client,Microsoft
3cf6df92-2745-4f6f-bbcf-19b59bcdb62a,Office 365 Client Admin,Microsoft
3cf798a6-b0c5-4d5c-9645-b5273d471fc5,teamsupgradeorchestrator-app,Microsoft
3d3f56ed-9c38-4480-b172-0fa5d8838516,TrustedPublishersProxyServicePPE,Microsoft
3df5ed2f-8f6d-4f42-9614-454d2514cbb7,Lynx Portal - PROD,Microsoft
3e050dd7-7815-46a0-8263-b73168a42c10,Teams Approvals,Microsoft
3e53edf8-185f-4fb1-b849-97faed43d817,Partner Accounts Graph,Microsoft
3e62f81e-590b-425b-9531-cad6683656cf,PowerApps - apps.powerapps.com,Microsoft
3eb95cef-b10f-46fe-94e0-969a3d4c9292,Office 365 Import Service,Microsoft
3edcf11f-df80-41b2-a5e4-7e213cca30d1,Azure Application Change Service,Microsoft
3f6aecb4-6dbf-4e45-9141-440abdced562,PROD Microsoft Defender For Cloud XDR,Microsoft
40775b29-2688-46b6-a3b5-b256bd04df9f,Microsoft Information Protection API,Microsoft
409eb3e8-dfc5-4fd6-b2db-9eabc43810ba,25-Reports Dev,Microsoft
40c49ff3-c6ae-436d-b28e-b8e268841980,Microsoft Azure Network Copilot,Microsoft
441509e5-a165-4363-8ee7-bcf0b7d26739,DWEngineV2,Microsoft
44a02aaa-7145-4925-9dcd-79e6e1b94eff,MicrosoftDynamics365OfficeAppsIntegration,Microsoft
44a02aaa-7145-4925-9dcd-79e6e1b94eff,Microsoft Dynamics 365 Apps Integration,Microsoft
44a34657-125d-4be1-b08d-87a07b336d24,PowerApps - play.apps.appsplatform.us,Microsoft
44b7b882-eb46-485c-9c78-686f6b67b176,AML Registries,Microsoft
44f229e1-5c76-4d68-8b7c-83cbfd54ab7a,Dynamics 365 Sales Service,Microsoft
4580fd1d-e5a3-4f56-9ad1-aab0e3bf8f76,Call Recorder,Microsoft
45a330b1-b1ec-4cc1-9161-9f03992aa49f,Windows Store for Business,Microsoft
461e8683-5575-4561-ac7f-899cc907d62a,Azns AAD Webhook,Microsoft
4660504c-45b3-4674-a709-71951a6b0763,Microsoft Invitation Acceptance Portal,Microsoft
46e9667d-34e6-43d8-a494-6759b3ae6a5e,Biz Apps Demo Hub Prod,Microsoft
470d0752-cb06-49b2-ac83-5023fc23adae,MicrosoftFlowGCCHigh,Microsoft
4747d38e-36c5-4bc3-979b-b0ef74df54d1,PushChannel,Microsoft
475226c6-020e-4fb2-8a90-7a972cbfc1d4,PowerApps Service,Microsoft
4787c7ff-7cea-43db-8d0d-919f15c6354b,D365SalesProductivityProvisioning,Microsoft
4787c7ff-7cea-43db-8d0d-919f15c6354b,Dynamics 365 Viva Sales,Microsoft
47ee738b-3f1a-4fc7-ab11-37e4822b007e,Azure AD Application Proxy,Microsoft
481115cb-6d15-4cc0-8caf-f2fee7bfbd2b,IC3 Modern Effective Config Worker,Microsoft
4813382a-8fa7-425e-ab75-3b753aab3abb,Microsoft Authenticator App,Microsoft
486c78bf-a0f7-45f1-92fd-37215929e116,GatewayRP,Microsoft
48ac35b8-9aa8-4d74-927d-1f4a14a0b239,Skype and Teams Tenant Admin API,Microsoft
48af08dc-f6d2-435f-b2a7-069abd99c086,Connectors,Microsoft
4906f920-9f94-4f14-98aa-8456dd5f78a8,Dynamics CRM Unified Service Desk,Microsoft
4990cffe-04e8-4e8b-808a-1175604b879f,Microsoft Partner,Microsoft
499b84ac-1321-427f-aa17-267ca6975798,Azure DevOps,Microsoft
4ac7d521-0382-477b-b0f8-7e1d95f85ca2,Azure Analysis Services,Microsoft
4ade18ba-d41e-45d6-a563-97c67fc0be15,Microsoft Dynamics NRD Service,Microsoft
4bfd5d66-9285-44a1-bb14-14953e8cdf5e,Audit GraphAPI Application,Microsoft
4c1a3aed-b389-4824-99b0-514c07906851,Intune DeviceCheckIn ConfidentialClient,Microsoft
4c4f550b-42b2-4a16-93f9-fdb9e01bb6ed,Targeted Messaging Service,Microsoft
4c8f074c-e32b-4ba7-b072-0f39d71daf51,IPSubstrate,Microsoft
4c9fc70a-8d18-4528-9113-c6f1318c4d89,CAP Package Deployer Service,Microsoft
4cba1704-a0c1-45ee-9d41-fe75b4ef9190,TeamsChatServiceApp,Microsoft
4d079b4c-cab7-4b7c-a115-8fd51b6f8239,SQL DotNet Client,Microsoft
4e291c71-d680-4d0e-9640-0a3358e31177,Power Apps,Microsoft
4e291c71-d680-4d0e-9640-0a3358e31177,PowerApps,Microsoft
4e3c31ca-141f-45e5-9db0-d600d232dbaf,carius.de,Microsoft
4e445925-163e-42ca-b801-9073bfa46d17,SharePoint Home Notifier,Microsoft
4eaa7769-3cf1-458c-a693-e9827e39cc95,M365 Lighthouse API,Microsoft
4f547b5f-c3f7-4d2c-a14f-0f8f1286d7d5,OneDriveLTI,Microsoft
50351660-e7b1-4621-8bc8-8503296a5535,MicrosoftFlowGCC,Microsoft
507bc9da-c4e2-40cb-96a7-ac90df92685c,Office 365 Reports,Microsoft
509e4652-da8d-478d-a730-e9d4a1996ca4,Azure Resource Graph,Microsoft
50d8616b-fd4f-4fac-a1c9-a6a9440d7fe0,OMSAuthorizationServicePROD,Microsoft
50d9b7e0-07b6-4615-a8ae-f7f017db392a,Supply Chain Windblade Development,Microsoft
50e95039-b200-4007-bc97-8d5790743a63,Azure Virtual Desktop ARM Provider,Microsoft
51133ff5-8e0d-4078-bcca-84fb7f905b64,Microsoft Teams Mailhook,Microsoft
51b5e278-ed7e-42c6-8787-7ff93e92f577,Narada Notification Service,Microsoft
51f81489-12ee-4a9e-aaae-a2591f45987d,Dynamics 365 Example Client Application,Microsoft
